x,y,ra,dec,UTC,t,x_max,y_max,x_min,y_min,ra_max,ra_min,dec_max,dec_min
732.2799626668476,419.94899959772374,22.76292838426955,-50.77187024885564,2016-10-14 16:27:42,2.0,732.2799626668476,419.94899959772374,732.2799626668476,419.94899959772374,22.76292838426955,22.76292838426955,-50.77187024885564,-50.77187024885564
717.876666214839,406.76870498773496,24.59922835859469,-52.01393055271917,2016-10-14 16:27:44,4.0,717.876666214839,406.76870498773496,717.876666214839,406.76870498773496,24.59922835859469,24.59922835859469,-52.01393055271917,-52.01393055271917
702.2927716929937,392.81181761155415,26.700538095996702,-53.32221712124447,2016-10-14 16:27:46,6.0,702.2927716929937,392.81181761155415,702.2927716929937,392.81181761155415,26.700538095996702,26.700538095996702,-53.32221712124447,-53.32221712124447
687.5245631103082,379.87681897663526,28.81210241001739,-54.5255535773192,2016-10-14 16:27:48,8.0,687.5245631103082,379.87681897663526,687.5245631103082,379.87681897663526,28.81210241001739,28.81210241001739,-54.5255535773192,-54.5255535773192
672.7778199470744,367.24353617767576,31.048168516667527,-55.68899853711494,2016-10-14 16:27:50,10.0,672.7778199470744,367.24353617767576,672.7778199470744,367.24353617767576,31.048168516667527,31.048168516667527,-55.68899853711494,-55.68899853711494
658.8467627230004,355.568723044664,33.287691834095554,-56.75024228581268,2016-10-14 16:27:52,12.0,658.8467627230004,355.568723044664,658.8467627230004,355.568723044664,33.287691834095554,33.287691834095554,-56.75024228581268,-56.75024228581268
644.5937242071528,343.88518949740796,35.71714733204942,-57.79468273132835,2016-10-14 16:27:53.900000,13.9,644.5937242071528,343.88518949740796,644.5937242071528,343.88518949740796,35.71714733204942,35.71714733204942,-57.79468273132835,-57.79468273132835
632.2725734419473,333.99809555219065,37.93800858382835,-58.66098225928212,2016-10-14 16:27:56,16.0,632.2725734419473,333.99809555219065,632.2725734419473,333.99809555219065,37.93800858382835,37.93800858382835,-58.66098225928212,-58.66098225928212
618.8781517041629,323.47364813838635,40.487640860878244,-59.560867194747175,2016-10-14 16:27:58,18.0,618.8781517041629,323.47364813838635,618.8781517041629,323.47364813838635,40.487640860878244,40.487640860878244,-59.560867194747175,-59.560867194747175
606.5570009389572,313.99845741846366,42.96451538117713,-60.34678457525983,2016-10-14 16:27:59.900000,19.9,606.5570009389572,313.99845741846366,606.5570009389572,313.99845741846366,42.96451538117713,42.96451538117713,-60.34678457525983,-60.34678457525983
594.4505043682674,304.88056824099766,45.52713750180688,-61.07649794400324,2016-10-14 16:28:01.900000,21.9,594.4505043682674,304.88056824099766,594.4505043682674,304.88056824099766,45.52713750180688,45.52713750180688,-61.07649794400324,-61.07649794400324
582.3440077975777,295.95321841825387,48.2227201042868,-61.760447174523826,2016-10-14 16:28:04,24.0,582.3440077975777,295.95321841825387,582.3440077975777,295.95321841825387,48.2227201042868,48.2227201042868,-61.760447174523826,-61.760447174523826
570.9458700687899,287.7223561730152,50.885902289028195,-62.35903798213671,2016-10-14 16:28:06,26.0,570.9458700687899,287.7223561730152,570.9458700687899,287.7223561730152,50.885902289028195,50.885902289028195,-62.35903798213671,-62.35903798213671
559.9985061484853,279.9760156742852,53.5606002318081,-62.889214625317365,2016-10-14 16:28:08,28.0,559.9985061484853,279.9760156742852,559.9985061484853,279.9760156742852,53.5606002318081,53.5606002318081,-62.889214625317365,-62.889214625317365
548.9008842920196,272.28237495089866,56.39006403760761,-63.37846725876475,2016-10-14 16:28:10,30.0,548.9008842920196,272.28237495089866,548.9008842920196,272.28237495089866,56.39006403760761,56.39006403760761,-63.37846725876475,-63.37846725876475
539.9927352196148,266.22246904808276,58.74725030669464,-63.73363225894278,2016-10-14 16:28:12,32.0,539.9927352196148,266.22246904808276,539.9927352196148,266.22246904808276,58.74725030669464,58.74725030669464,-63.73363225894278,-63.73363225894278
